game_id,week,season_type,neutral_site,conference_game,venue,home_team,home_conference,home_points,away_team,away_conference,away_points,Date,Attendance
401643729,7,regular,FALSE,TRUE,Canvas Stadium,Colorado State,Mountain West,31,San José State,Mountain West,24,10/12/2024,27280
401643741,9,regular,FALSE,TRUE,Canvas Stadium,Colorado State,Mountain West,17,New Mexico,Mountain West,6,10/26/2024,36980
401643748,10,regular,FALSE,TRUE,Mackay Stadium,Nevada,Mountain West,21,Colorado State,Mountain West,38,11/02/2024,16019
401643759,12,regular,FALSE,TRUE,Canvas Stadium,Colorado State,Mountain West,24,Wyoming,Mountain West,10,11/15/2024,36720
401643765,13,regular,FALSE,TRUE,Valley Children's Stadium,Fresno State,Mountain West,28,Colorado State,Mountain West,22,11/23/2024,39543
401643770,14,regular,FALSE,TRUE,Canvas Stadium,Colorado State,Mountain West,42,Utah State,Mountain West,37,11/29/2024,24772
401677188,1,postseason,TRUE,FALSE,Arizona Stadium,Colorado State,Mountain West,17,Miami (OH),Mid-American,43,12/28/2024,40076
401645320,1,regular,FALSE,FALSE,Dowdy-Ficklen Stadium,East Carolina,American Athletic,42,Norfolk State,MEAC,3,08/31/2024,36467
401643778,2,regular,FALSE,FALSE,S.B. Ballard Stadium,Old Dominion,Sun Belt,14,East Carolina,American Athletic,20,09/07/2024,21944
401640991,4,regular,FALSE,FALSE,Williams Stadium (VA),Liberty,Conference USA,35,East Carolina,American Athletic,24,09/21/2024,24076
401645334,5,regular,FALSE,TRUE,Dowdy-Ficklen Stadium,East Carolina,American Athletic,30,UTSA,American Athletic,20,09/28/2024,41851
401645352,9,regular,FALSE,TRUE,Dowdy-Ficklen Stadium,East Carolina,American Athletic,56,Temple,American Athletic,34,10/26/2024,33744
401645361,11,regular,FALSE,TRUE,Dowdy-Ficklen Stadium,East Carolina,American Athletic,49,Florida Atlantic,American Athletic,14,11/07/2024,30573
401645365,12,regular,FALSE,TRUE,Chapman Stadium,Tulsa,American Athletic,31,East Carolina,American Athletic,38,11/14/2024,17979
401645372,13,regular,FALSE,TRUE,DATCU Stadium,North Texas,American Athletic,28,East Carolina,American Athletic,40,11/23/2024,17387
401645379,14,regular,FALSE,TRUE,Dowdy-Ficklen Stadium,East Carolina,American Athletic,20,Navy,American Athletic,34,11/29/2024,35663
401677098,1,postseason,TRUE,FALSE,Navy-Marine Corps Memorial Stadium,NC State,ACC,21,East Carolina,American Athletic,26,12/28/2024,23981
401629039,1,regular,FALSE,FALSE,Warren McGuirk Alumni Stadium,Massachusetts,FBS Independents,14,Eastern Michigan,Mid-American,28,08/31/2024,12810
401628473,2,regular,FALSE,FALSE,Husky Stadium,Washington,Big Ten,30,Eastern Michigan,Mid-American,9,09/07/2024,64222
401640999,3,regular,FALSE,FALSE,Rynearson Stadium,Eastern Michigan,Mid-American,37,Jacksonville State,Conference USA,34,09/14/2024,17501
401644737,4,regular,FALSE,FALSE,Rynearson Stadium,Eastern Michigan,Mid-American,36,St. Francis (PA),NEC,0,09/21/2024,15509
401644739,5,regular,FALSE,TRUE,Dix Stadium,Kent State,Mid-American,33,Eastern Michigan,Mid-American,52,09/28/2024,10899
401644685,7,regular,FALSE,TRUE,Rynearson Stadium,Eastern Michigan,Mid-American,14,Miami (OH),Mid-American,38,10/12/2024,16903
401644758,10,regular,FALSE,TRUE,Rynearson Stadium,Eastern Michigan,Mid-American,28,Toledo,Mid-American,29,11/02/2024,13044
401644767,12,regular,FALSE,TRUE,Peden Stadium,Ohio,Mid-American,35,Eastern Michigan,Mid-American,10,11/13/2024,14133
401644780,14,regular,FALSE,TRUE,Waldo Stadium,Western Michigan,Mid-American,26,Eastern Michigan,Mid-American,18,11/30/2024,11263
401628449,1,regular,FALSE,FALSE,"Memorial Stadium (Bloomington, IN)",Indiana,Big Ten,31,Florida International,Conference USA,7,08/31/2024,44150
